code,gana,gana_name,dhatu_slp1,dhatu_iast,dhatu_deva,artha_slp1,artha_iast,artha_deva,core_root
01.0685,1,bhvādi,DAvu~^,dhāvu,धावु,gatiSudDyoH,gatiśuddhyoḥ,गतिशुद्ध्योः,DAv
01.1047,1,bhvādi,Df\Y,dhṛñ,धृञ्,DAraRe,dhāraṇe,धारणे,Df
01.1115,1,bhvādi,Df\N,dhṛṅ,धृङ्,avabanDane viDvaMsane ca,avabandhane vidhvaṃsane ca,अवबन्धने विध्वंसने च,Df
05.0025,5,svādi,YiDfzA~,ñidhṛṣā,ञिधृषा,prAgalBye,prāgalbhye,प्रागल्भ्ये,Df
06.0148,6,tudādi,Df\N,dhṛṅ,धृङ्,avasTAne,avasthāne,अवस्थाने,Df
04.0093,4,divādi,df\pa~,dṛpa,दृप,harzamohanayoH,harṣamohanayoḥ,हर्षमोहनयोः,dfp
06.0036,6,tudādi,dfpa~,dṛpa,दृप,utkleSe,utkleśe,उत्क्लेशे,dfp
10.0356,10,curādi,dfpa~,dṛpa,दृप,sandIpane,sandīpane,सन्दीपने,dfp
01.1143,1,bhvādi,df\Si~r,dṛśir,दृशिर्,prekzaRe,prekṣaṇe,प्रेक्षणे,dfS
06.0003,6,tudādi,di\Sa~^,diśa,दिश,atisarjane,atisarjane,अतिसर्जने,diS
01.0676,1,bhvādi,divi~,divi,दिवि,prIRane,prīṇane,प्रीणने,div
04.0001,4,divādi,divu~,divu,दिवु,krIqAvijigIzAvyavahAradyutistutimodamadasvapnakAntigatizu,krīḍāvijigīṣāvyavahāradyutistutimodamadasvapnakāntigatiṣu,क्रीडाविजिगीषाव्यवहारद्युतिस्तुतिमोदमदस्वप्नकान्तिगतिषु,div
10.0230,10,curādi,divu~,divu,दिवु,parikUjane,parikūjane,परिकूजने,div
10.0249,10,curādi,divu~,divu,दिवु,mardane,mardane,मर्दने,div
04.0043,4,divādi,do\,do,दो,avaKaRqane,avakhaṇḍane,अवखण्डने,do
01.0839,1,bhvādi,duhi~r,duhir,दुहिर्,ardane,ardane,अर्दने,duh
02.0004,2,adādi,du\ha~^,duha,दुह,prapUraRe,prapūraṇe,प्रपूरणे,duh
01.0928,1,bhvādi,Dvana~,dhvana,ध्वन,Sabde,śabde,शब्दे,Dvan
01.0962,1,bhvādi,Dvana~,dhvana,ध्वन,Sabde,śabde,शब्दे,Dvan
10.0431,10,curādi,Dvana,dhvana,ध्वन,Sabde,śabde,शब्दे,Dvan
02.0003,2,adādi,dvi\za~^,dviṣa,द्विष,aprItO,aprītau,अप्रीतौ,dviz
01.1056,1,bhvādi,DyE\,dhyai,ध्यै,cintAyAm,cintāyām,चिन्तायाम्,DyE
01.0842,1,bhvādi,dyuta~\,dyuta,द्युत,dIptO,dīptau,दीप्तौ,dyut
01.0736,1,bhvādi,gAhU~\,gāhū,गाहू,viloqane,viloḍane,विलोडने,gAh
01.1137,1,bhvādi,ga\mx~,gamḷ,गमॢ,gatO,gatau,गतौ,gam
10.0391,10,curādi,gaRa,gaṇa,गण,saNKyAne,saṅkhyāne,सङ्ख्याने,gaR
01.1065,1,bhvādi,gE\,gai,गै,Sabde,śabde,शब्दे,gE
01.1075,1,bhvādi,GrA\,ghrā,घ्रा,ganDopAdAne GrARe ca,gandhopādāne ghrāṇe ca,गन्धोपादाने घ्राणे च,GrA
09.0071,9,kryādi,graha~^,graha,ग्रह,upAdAne,upādāne,उपादाने,grah
03.0008,3,juhotyādi,o~hA\N,ohāṅ,ओहाङ्,gatO,gatau,गतौ,hA
03.0009,3,juhotyādi,o~hA\k,ohāk,ओहाक्,tyAge,tyāge,त्यागे,hA
02.0002,2,adādi,ha\na~,hana,हन,hiMsAgatyoH,hiṃsāgatyoḥ,हिंसागत्योः,han
01.0822,1,bhvādi,hase~,hase,हसे,hasane,hasane,हसने,has
01.1046,1,bhvādi,hf\Y,hṛñ,हृञ्,haraRe,haraṇe,हरणे,hf
03.0016,3,juhotyādi,hf\,hṛ,हृ,prasahyakaraRe,prasahyakaraṇe,प्रसह्यकरणे,hf
01.0806,1,bhvādi,hfzu~,hṛṣu,हृषु,alIke,alīke,अलीके,hfz
04.0142,4,divādi,hfza~,hṛṣa,हृष,tuzwO,tuṣṭau,तुष्टौ,hfz
01.1163,1,bhvādi,hve\Y,hveñ,ह्वेञ्,sparDAyAM Sabde ca,spardhāyāṃ śabde ca,स्पर्धायां शब्दे च,hve
02.0041,2,adādi,i\N,iṅ,इङ्,aDyayane,adhyayane,अध्ययने,i
02.0042,2,adādi,i\k,ik,इक्,smaraRe,smaraṇe,स्मरणे,i
01.0694,1,bhvādi,Ikza~\,īkṣa,ईक्ष,darSane,darśane,दर्शने,Ikz
02.0009,2,adādi,Iqa~\,īḍa,ईड,stutO,stutau,स्तुतौ,Iq
10.0183,10,curādi,Iqa~,īḍa,ईड,stutO,stutau,स्तुतौ,Iq
04.0022,4,divādi,iza~,iṣa,इष,gatO,gatau,गतौ,iz
06.0078,6,tudādi,izu~,iṣu,इषु,icCAyAm,icchāyām,इच्छायाम्,iz
09.0061,9,kryādi,iza~,iṣa,इष,ABIkzRye,ābhīkṣṇye,आभीक्ष्ण्ये,iz
02.0067,2,adādi,jAgf,jāgṛ,जागृ,nidrAkzaye,nidrākṣaye,निद्राक्षये,jAgf
03.0025,3,juhotyādi,jana~,jana,जन,janane,janane,जनने,jan
04.0044,4,divādi,janI~\,janī,जनी,prAdurBAve,prādurbhāve,प्रादुर्भावे,jan
01.0643,1,bhvādi,jIva~,jīva,जीव,prARaDAraRe,prāṇadhāraṇe,प्राणधारणे,jIv
01.0916,1,bhvādi,jvala~,jvala,ज्वल,dIptO,dīptau,दीप्तौ,jval
01.0965,1,bhvādi,jvala~,jvala,ज्वल,dIptO,dīptau,दीप्तौ,jval
01.0923,1,bhvādi,jYA,jñā,ज्ञा,mAraRatozaRaniSAmanezu,māraṇatoṣaṇaniśāmaneṣu,मारणतोषणनिशामनेषु,jYA
09.0043,9,kryādi,jYA\,jñā,ज्ञा,avaboDane,avabodhane,अवबोधने,jYA
10.0258,10,curādi,jYA,jñā,ज्ञा,niyoge,niyoge,नियोगे,jYA
01.0051,1,bhvādi,KAdf~,khādṛ,खादृ,BakzaRe,bhakṣaṇe,भक्षणे,KAd
01.0435,1,bhvādi,kapi~\,kapi,कपि,calane,calane,चलने,kamp
01.0760,1,bhvādi,kAkzi~,kākṣi,काक्षि,kANkzAyAm,kāṅkṣāyām,काङ्क्षायाम्,kANkz
10.0389,10,curādi,kaTa,katha,कथ,vAkyaprabanDe,vākyaprabandhe,वाक्यप्रबन्धे,kaT
05.0007,5,svādi,kf\Y,kṛñ,कृञ्,hiMsAyAm,hiṃsāyām,हिंसायाम्,kf
08.0010,8,tanādi,qukf\Y,ḍukṛñ,डुकृञ्,karaRe,karaṇe,करणे,kf
01.0074,1,bhvādi,kradi~,kradi,क्रदि,AhvAne rodane ca,āhvāne rodane ca,आह्वाने रोदने च,krand
01.0879,1,bhvādi,kradi~\,kradi,क्रदि,vEklavye,vaiklavye,वैक्लव्ये,krand
10.0252,10,curādi,kranda~,kranda,क्रन्द,sAtatye,sātatye,सातत्ये,krand
09.0001,9,kryādi,qukrI\Y,ḍukrīñ,डुक्रीञ्,dravyavinimaye,dravyavinimaye,द्रव्यविनिमये,krI
01.0405,1,bhvādi,krIqf~,krīḍṛ,क्रीडृ,vihAre,vihāre,विहारे,krIq
04.0086,4,divādi,kru\Da~,krudha,क्रुध,kroDe,krodhe,क्रोधे,kruD
01.0980,1,bhvādi,kzala~,kṣala,क्षल,saYcalane,sañcalane,सञ्चलने,kzal
10.0086,10,curādi,kzala~,kṣala,क्षल,SOcakarmaRi,śaucakarmaṇi,शौचकर्मणि,kzal
01.0510,1,bhvādi,kzamU~\z,kṣamūṣ,क्षमूष्,sahane,sahane,सहने,kzam
04.0103,4,divādi,kzamU~,kṣamū,क्षमू,sahane,sahane,सहने,kzam
04.0128,4,divādi,kzamU~z,kṣamūṣ,क्षमूष्,sahane,sahane,सहने,kzam
01.0986,1,bhvādi,kzara~,kṣara,क्षर,saYcalane,sañcalane,सञ्चलने,kzar
04.0015,4,divādi,kzi\pa~,kṣipa,क्षिप,preraRe,preraṇe,प्रेरणे,kzip
06.0005,6,tudādi,kzi\pa~^,kṣipa,क्षिप,preraRe,preraṇe,प्रेरणे,kzip
10.0487,10,curādi,kzipa,kṣipa,क्षिप,preraRe,preraṇe,प्रेरणे,kzip
01.1130,1,bhvādi,qula\Ba~\z,ḍulabhaṣ,डुलभष्,prAptO,prāptau,प्राप्तौ,laB
06.0092,6,tudādi,liKa~,likha,लिख,akzaravinyAse,akṣaravinyāse,अक्षरविन्यासे,liK
