first_slp1,second_slp1,result_slp1,first_iast,second_iast,result_iast,category,sandhi_name,sutra
U,e,v e,ū,e,v e,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,E,v E,ū,ai,v ai,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,o,v o,ū,o,v o,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
U,O,v O,ū,au,v au,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,a,r a,ṛ,a,r a,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,A,r A,ṛ,ā,r ā,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,i,r i,ṛ,i,r i,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,I,r I,ṛ,ī,r ī,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,u,r u,ṛ,u,r u,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,U,r U,ṛ,ū,r ū,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,f,F,ṛ,ṛ,ṝ,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
f,F,F,ṛ,ṝ,ṝ,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
f,x,r x,ṛ,ḷ,r ḷ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,X,r X,ṛ,ḹ,r ḹ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,e,r e,ṛ,e,r e,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,E,r E,ṛ,ai,r ai,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,o,r o,ṛ,o,r o,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
f,O,r O,ṛ,au,r au,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,a,r a,ṝ,a,r a,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,A,r A,ṝ,ā,r ā,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,i,r i,ṝ,i,r i,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,I,r I,ṝ,ī,r ī,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,u,r u,ṝ,u,r u,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,U,r U,ṝ,ū,r ū,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,f,F,ṝ,ṛ,ṝ,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
F,F,F,ṝ,ṝ,ṝ,ac-sandhi (vowel),savarRadIrGa,6.1.101 akaH savarRe dIrGaH
F,x,r x,ṝ,ḷ,r ḷ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,X,r X,ṝ,ḹ,r ḹ,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,e,r e,ṝ,e,r e,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,E,r E,ṝ,ai,r ai,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,o,r o,ṝ,o,r o,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
F,O,r O,ṝ,au,r au,ac-sandhi (vowel),yaR,6.1.77 iko yaRaci
e,a,e ',e,a,e ',ac-sandhi (vowel),pUrvarUpa,6.1.109 eNaH padAntAdati
e,A,a A,e,ā,a ā,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,i,a i,e,i,a i,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,I,a I,e,ī,a ī,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,u,a u,e,u,a u,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,U,a U,e,ū,a ū,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,f,a f,e,ṛ,a ṛ,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,F,a F,e,ṝ,a ṝ,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,x,a x,e,ḷ,a ḷ,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,X,a X,e,ḹ,a ḹ,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,e,a e,e,e,a e,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,E,a E,e,ai,a ai,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,o,a o,e,o,a o,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
e,O,a O,e,au,a au,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,a,A a,ai,a,ā a,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,A,A A,ai,ā,ā ā,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,i,A i,ai,i,ā i,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,I,A I,ai,ī,ā ī,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,u,A u,ai,u,ā u,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,U,A U,ai,ū,ā ū,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,f,A f,ai,ṛ,ā ṛ,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,F,A F,ai,ṝ,ā ṝ,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,x,A x,ai,ḷ,ā ḷ,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,X,A X,ai,ḹ,ā ḹ,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,e,A e,ai,e,ā e,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,E,A E,ai,ai,ā ai,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,o,A o,ai,o,ā o,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
E,O,A O,ai,au,ā au,ac-sandhi (vowel),ayAdi+ya/va-lopa (padAnta),6.1.78 + 8.3.19–20
O,a,Av a,au,a,āv a,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,A,Av A,au,ā,āv ā,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,i,Av i,au,i,āv i,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,I,Av I,au,ī,āv ī,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,u,Av u,au,u,āv u,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,U,Av U,au,ū,āv ū,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,f,Av f,au,ṛ,āv ṛ,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,F,Av F,au,ṝ,āv ṝ,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,x,Av x,au,ḷ,āv ḷ,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,X,Av X,au,ḹ,āv ḹ,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,e,Av e,au,e,āv e,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,E,Av E,au,ai,āv ai,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,o,Av o,au,o,āv o,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
O,O,Av O,au,au,āv au,ac-sandhi (vowel),ayAdi,6.1.78 eco_yavAyAvaH
a,C,a cC,a,ch,a cch,ac+hal boundary,tuk-Agama,6.1.73 Ce ca
i,C,i cC,i,ch,i cch,ac+hal boundary,tuk-Agama,6.1.73 Ce ca
u,C,u cC,u,ch,u cch,ac+hal boundary,tuk-Agama,6.1.73 Ce ca
f,C,f cC,ṛ,ch,ṛ cch,ac+hal boundary,tuk-Agama,6.1.73 Ce ca
x,C,x cC,ḷ,ch,ḷ cch,ac+hal boundary,tuk-Agama,6.1.73 Ce ca
as,a,o ',as,a,o ',hal+ac boundary,utva+guRa (aH→o),6.1.113 ato ror aplutAdaplute + 6.1.87
as,A,a A,as,ā,a ā,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,i,a i,as,i,a i,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,I,a I,as,ī,a ī,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,u,a u,as,u,a u,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,U,a U,as,ū,a ū,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,f,a f,as,ṛ,a ṛ,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,F,a F,as,ṝ,a ṝ,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,x,a x,as,ḷ,a ḷ,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,X,a X,as,ḹ,a ḹ,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,e,a e,as,e,a e,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,E,a E,as,ai,a ai,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
